PAC4GC:7334132_PAC4GC:7334166.8.592d0e1c	32031_32028	17232
PAC4GC:7367658.4.592a4f55.2.592d0e1a	Xelaev18034942m.g	17213
PAC4GC:7337652	Xelaev18046632m.g	17210
PAC4GC:7334236	Xelaev18034129m.g	17198
PAC4GC:7338905.2.592a4f67	Xelaev18047528m.g	17155
PAC4GC:7339373	Xelaev18047529m.g	17144
PAC4GC:7338905.1.592a4f67	Xelaev18047528m.g	17143
PAC4GC:7333993	Xelaev18034126m.g	17138
PAC4GC:7334132_PAC4GC:7334166.7.592d0e1c	32031_32028	17108
PAC4GC:7334132_PAC4GC:7334166.1.592d0e1c	32031_32028	17106
PAC4GC:7343564	Xelaev18017805m.g	17071
PAC4GC:7334132_PAC4GC:7334166.10.592d0e1c	32031_32028	17070
PAC4GC:7367658	Xelaev18034942m.g	17050
PAC4GC:7353575	Xelaev18013064m.g	17035
PAC4GC:7324377	Xelaev18004399m.g	17032
PAC4GC:7334132_PAC4GC:7334166.6.592d0e1c	32031_32028	17003
PAC4GC:7321811.9.592a4f6a	Xelaev18004054m.g	16964
PAC4GC:7330708.1.592a4f67	Xelaev18007867m.g	16913
PAC4GC:7329530	Xelaev18007868m.g	16907
PAC4GC:7350753	Xelaev18015857m.g	16904
PAC4GC:7352211.2.592a4f5f	Xelaev18015856m.g	16881
PAC4GC:7334132_PAC4GC:7334166.12.592d0e1c	32031_32028	16881
PAC4GC:7352211.1.592a4f5f	Xelaev18015856m.g	16878
PAC4GC:7367658.3.592a4f55	Xelaev18034942m.g	16868
PAC4GC:7350730.1.592a4f63	Xelaev18016333m.g	16863
PAC4GC:7366248	Xelaev18034943m.g	16857
PAC4GC:7328021	Xelaev18027404m.g	16855
PAC4GC:7348386.2.592a4f6a	Xelaev18003845m.g	16850
PAC4GC:7348070	Xelaev18039978m.g	16837
PAC4GC:7363404	Xelaev18023628m.g	16822
PAC4GC:7351449	Xelaev18016176m.g	16821
PAC4GC:7352482	Xelaev18016334m.g	16803
PAC4GC:7338459	Xelaev18046452m.g	16765
PAC4GC:7332467	Xelaev18005871m.g	16762
PAC4GC:7366470.1.592a4f5d	Xelaev18035809m.g	16749
PAC4GC:7358895	Xelaev18043737m.g	16738
PAC4GC:7361850.1.592a4f58	Xelaev18022507m.g	16736
PAC4GC:7367658.2.592a4f55	Xelaev18034942m.g	16724
PAC4GC:7362620	Xelaev18022509m.g	16688
PAC4GC:7367514	Xelaev18035810m.g	16655
PAC4GC:7355004.4.592a4f63	Xelaev18013021m.g	16643
PAC4GC:7354897	Xelaev18011896m.g	16580
PAC4GC:7352070.3.592a4f5c	Xelaev18015601m.g	16548
PAC4GC:7353980	Xelaev18011623m.g	16514
PAC4GC:7335636	Xelaev18009183m.g	16497
PAC4GC:7347520	Xelaev18038864m.g	16480
PAC4GC:7335758.1.592a4f60	Xelaev18010673m.g	16374
PAC4GC:7335613	Xelaev18010675m.g	16371
PAC4GC:7323179.1.592a4f5d	Xelaev18030295m.g	16369
PAC4GC:7335758.2.592a4f60	Xelaev18010673m.g	16368
PAC4GC:7347247	Xelaev18038863m.g	16365
PAC4GC:7330502.3.592a4f51	Xelaev18005064m.g	16364
PAC4GC:7323179.7.592a4f5d	Xelaev18030295m.g	16360
PAC4GC:7323179.2.592a4f5d	Xelaev18030295m.g	16359
PAC4GC:7352574	Xelaev18015908m.g	16313
PAC4GC:7364670.3.592a4f50	Xelaev18024452m.g	16249
PAC4GC:7356460	Xelaev18037980m.g	16238
PAC4GC:7345110	Xelaev18019325m.g	16236
PAC4GC:7356460.7.592a4f58	Xelaev18037980m.g	16235
PAC4GC:7331398	Xelaev18005707m.g	16224
PAC4GC:7354797	Xelaev18013782m.g	16218
PAC4GC:7352043	Xelaev18015917m.g	16213
PAC4GC:7361431.1.592a4f6a	Xelaev18003541m.g	16200
PAC4GC:7361668.1.592a4f55	Xelaev18022246m.g	16190
PAC4GC:7323179.6.592a4f5d	Xelaev18030295m.g	16178
PAC4GC:7334323	Xelaev18034130m.g	16157
PAC4GC:7356460.10.592a4f58	Xelaev18037980m.g	16155
PAC4GC:7356460.2.592a4f58	Xelaev18037980m.g	16152
PAC4GC:7356460.14.592a4f58	Xelaev18037980m.g	16149
PAC4GC:7356460.1.592a4f58.1.592d0e1d	Xelaev18037980m.g	16146
PAC4GC:7361431.5.592a4f6a	Xelaev18003541m.g	16132
PAC4GC:7354025	Xelaev18011685m.g	16123
PAC4GC:7356460.1.592a4f58	Xelaev18037980m.g	16122
PAC4GC:7356460.5.592a4f58	Xelaev18037980m.g	16119
